EqID,Equation,Framework,Domain,SourceDoc,SourceLine,Description,VerificationStatus,RelatedEqs,ExperimentalTest
UE001,Generated: 2025-10-10,Unified,General,EQUATION_CATALOG_README.md,6,================================================================================ COMPREHENSIVE EQUATION CATALOG - Math_Science Repository ==============================================================...,Theoretical,,Theoretical validation required
UE002,- Genesis Kernel: K_Genesis = K_base · K_scalar-ZPE · F_M · M_n · Φ_total,Unified,GR,EQUATION_CATALOG_README.md,114,================================================================================ FUNDAMENTAL KERNELS: - Genesis Kernel: K_Genesis = K_base · K_scalar-ZPE · F_M · M_n · Φ_total - Aetheric Metric: ds² =...,Theoretical,,Scalar field interferometry
UE003,"- Aetheric Metric: ds² = g_μν dx^μ dx^ν + δg(φ, ZPE, foam)",Unified,EM,EQUATION_CATALOG_README.md,115,"FUNDAMENTAL KERNELS: - Genesis Kernel: K_Genesis = K_base · K_scalar-ZPE · F_M · M_n · Φ_total - Aetheric Metric: ds² = g_μν dx^μ dx^ν + δg(φ, ZPE, foam) - Scalar Field: ∇²φ - ∂²φ/∂t² + V'(φ) = -ρ - S...",Theoretical,,Scalar field interferometry
UE004,- Scalar Field: ∇²φ - ∂²φ/∂t² + V'(φ) = -ρ,Unified,EM,EQUATION_CATALOG_README.md,116,"FUNDAMENTAL KERNELS: - Genesis Kernel: K_Genesis = K_base · K_scalar-ZPE · F_M · M_n · Φ_total - Aetheric Metric: ds² = g_μν dx^μ dx^ν + δg(φ, ZPE, foam) - Scalar Field: ∇²φ - ∂²φ/∂t² + V'(φ) = -ρ - S...",Theoretical,,Scalar field interferometry
UE005,- Superforce: SF = c^4/G,Unified,EM,EQUATION_CATALOG_README.md,117,"- Genesis Kernel: K_Genesis = K_base · K_scalar-ZPE · F_M · M_n · Φ_total - Aetheric Metric: ds² = g_μν dx^μ dx^ν + δg(φ, ZPE, foam) - Scalar Field: ∇²φ - ∂²φ/∂t² + V'(φ) = -ρ - Superforce: SF = c^4/G...",Theoretical,,Scalar field interferometry
UE006,- Hamiltonian: H = Σ(-ℏ²/(2m_i)∇² + V(r_i)),Unified,GR,EQUATION_CATALOG_README.md,120,- Superforce: SF = c^4/G QUANTUM LATTICE DYNAMICS: - Hamiltonian: H = Σ(-ℏ²/(2m_i)∇² + V(r_i)) - Phonon Propagation: ω²u = D·u - Elastic Tensor: C_ijkl = ∂²E/(∂ε_ij ∂ε_kl),Theoretical,,Theoretical validation required
UE007,- Phonon Propagation: ω²u = D·u,Unified,GR,EQUATION_CATALOG_README.md,121,QUANTUM LATTICE DYNAMICS: - Hamiltonian: H = Σ(-ℏ²/(2m_i)∇² + V(r_i)) - Phonon Propagation: ω²u = D·u - Elastic Tensor: C_ijkl = ∂²E/(∂ε_ij ∂ε_kl) ZERO-POINT ENERGY:,Theoretical,,Theoretical validation required
UE008,- Elastic Tensor: C_ijkl = ∂²E/(∂ε_ij ∂ε_kl),Unified,GR,EQUATION_CATALOG_README.md,122,QUANTUM LATTICE DYNAMICS: - Hamiltonian: H = Σ(-ℏ²/(2m_i)∇² + V(r_i)) - Phonon Propagation: ω²u = D·u - Elastic Tensor: C_ijkl = ∂²E/(∂ε_ij ∂ε_kl) ZERO-POINT ENERGY: - Scalar-ZPE Coupling: L_int = g φ...,Theoretical,,Scalar field interferometry
UE009,- Scalar-ZPE Coupling: L_int = g φ ZPE²,Unified,GR,EQUATION_CATALOG_README.md,125,- Elastic Tensor: C_ijkl = ∂²E/(∂ε_ij ∂ε_kl) ZERO-POINT ENERGY: - Scalar-ZPE Coupling: L_int = g φ ZPE² - Casimir Force: F_casimir = Fc(1 + κφ/Mp + α∇²φ) - Energy Density: ρ_ZPE = ⟨|E_foam|²⟩ - ⟨E_foa...,Theoretical,,Casimir force measurement with fractal geometries
UE010,- Casimir Force: F_casimir = Fc(1 + κφ/Mp + α∇²φ),Unified,Experimental,EQUATION_CATALOG_README.md,126,ZERO-POINT ENERGY: - Scalar-ZPE Coupling: L_int = g φ ZPE² - Casimir Force: F_casimir = Fc(1 + κφ/Mp + α∇²φ) - Energy Density: ρ_ZPE = ⟨|E_foam|²⟩ - ⟨E_foam⟩² GRAVITATIONAL-EM UNIFICATION:,Theoretical,,Casimir force measurement with fractal geometries
